sentence|labels
Pan Tasi uvedl, že provedené studie neprokázaly žádný pokus o sebevraždu, a ministerstvo je přesvědčeno, že podobnému riziku se dá vyhnout, jelikož test je dobrovolný.|human
O víkendu jsem se velmi rád setkal s Penny a Nicholasem z Ashanti Development a popovídal si s nimi o jejich pokroku.|mt
Таможенные пошлины и сборы обычно взимаются транспортной компанией, или собираются, когда они отправляют посылки.|human
Pravděpodobně by využil šanci, kterou na začátku druhého poločasu zahodil Adam Masina. Promarněny byly ale i další dobré příležitosti.|human
Moderátor rádia Seth Dunlap tvrdil, že léta pracoval na homofobním a nepřátelském pracovišti. Poté, co údajně obdržel tweet s anti-gay nadávkou z Twitteru rozhlasové stanice, vyhrožoval žalobou.|mt
Мэн обвиняется в мошенничестве: ее подозревают в том, что она использовала фирму-однодневку, чтобы нарушить санкции против Ирана, а также лгала банкам о связях Huawei с иранской компанией Skycom.|human
Funkce v nejvyšším vedení východního Německa mu unikala, dokud nebyl v listopadu 1989 – několik dní po pádu Berlínské zdi – jmenován premiérem, což byla pozice, která dříve měla jen malý vliv.|mt
"""Přichází šek na 1200 dolarů. To bude součástí nového balíčku. Dal bych přednost snížení daně ze mzdy, ""řekl Kudlow na CNN"" stav Unie."|mt
Я знала, что люди могут судить о моем размере, многие делают это открыто, но я никогда не понимала, пока не похудела, микроуровень и то, насколько тонким он может быть.|mt
"Labouristický poslanec řekl Sophy Ridgeové: ""Chápu, proč se rozhodli, ale samozřejmě způsob, jakým bylo toto rozhodnutí učiněno v posledních 24 hodinách, je upřímně ostudný."|mt
Velké rozhořčení vyvolává skutečnost, že Leigh Drennanová, předsedkyně labouristické strany North West a poradkyně poslanečky Warringtonu North Charlotte Nicholsové, která podporuje Jeremyho Corbyna, nebyla v seznamu kandidátů, kteří se pokusí vyhrát místo od konzervativců, ačkoli získala nominaci od čtyř velkých odborových svazů.|mt
Penzijní fondy Thomase Cooka odstartovaly rozhovory se specializovanými pojišťovnami o dohodě na záchraně penzijních dávek zhroucené cestovní skupiny.|mt
(PERSON10) Jo, myslím - nedělal to Dominik nějaké experimenty s Ivanou?|mt
"Amit Yoran, generální ředitel kybernetické firmy Tenable, nazval to ""největší, nejkritičtější zranitelnost posledního desetiletí"" - a možná největší v historii moderních počítačů."|mt
Но ряд недавно принятых или ожидаемых мер в парламенте Содружества вызывает опасения по поводу нашего собственного доморощенного авторитаризма.|mt
Мгновенно оказавшись в опасности, бразилец затем восстановил контроль, чтобы подавить угрозу, и вернул Кианзада до фактического окончания раунда.|mt
