,Unnamed: 0,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
0,12,engces0122,eTranslation,6,TGT,eng,ces,100,sky.com.33889,False,1630136166.867,1630136182.726
1,27,engces0122,eTranslation,14,TGT,eng,ces,100,sky.com.33889,False,1630136326.173,1630136330.919
8,54,engces0122,Online-A,3,TGT,eng,ces,100,bbc.500823,False,1630136737.668,1630136782.25
11,62,engces0122,Online-A,6,TGT,eng,ces,100,bbc.500823,False,1630136901.448,1630136904.494
14,74,engces0122,Online-A,10,TGT,eng,ces,100,bbc.500823,False,1630136988.743,1630136999.543
25,134,engces0122,Online-A,21,TGT,eng,ces,100,bbc.500823,False,1630137375.599,1630137382.285
31,161,engces0122,Online-A,27,TGT,eng,ces,100,bbc.500823,False,1630137543.681,1630137555.447
35,182,engces0122,Online-A,31,TGT,eng,ces,100,bbc.500823,False,1630137663.287,1630137681.188
37,191,engces0122,Online-A,34,TGT,eng,ces,100,bbc.500823,False,1630137743.829,1630137753.953
38,194,engces0122,Online-A,35,TGT,eng,ces,100,bbc.500823,False,1630137753.96,1630137764.736
45,445,engces0113,Online-W,0,TGT,eng,ces,100,seattle_times.253342,False,1630142276.091,1630142301.441
46,446,engces0113,Online-W,1,TGT,eng,ces,100,seattle_times.253342,False,1630142301.447,1630142322.764
48,452,engces0113,Online-W,3,TGT,eng,ces,98,seattle_times.253342,False,1630142361.949,1630142388.502
49,454,engces0113,Online-W,4,TGT,eng,ces,99,seattle_times.253342,False,1630142388.505,1630142400.973
51,463,engces0113,Online-W,6,TGT,eng,ces,95,seattle_times.253342,False,1630142439.429,1630142470.805
54,470,engces0113,Online-W,8,TGT,eng,ces,97,seattle_times.253342,False,1630142507.74,1630142519.332
64,510,engces0123,translator-B,7,TGT,eng,ces,96,seattle_times.253356,False,1630142707.986,1630142787.731
93,627,engces0123,CUNI-Transformer2018,2,TGT,eng,ces,96,guardian.306602,False,1630144106.706,1630144132.011
106,680,engces0113,Online-W,12,TGT,eng,ces,95,seattle_times.253342,False,1630144802.579,1630144832.883
123,725,engces0123,Online-W,0,TGT,eng,ces,96,guardian.306625,False,1630145219.061,1630145234.483
128,733,engces0123,Online-W,5,TGT,eng,ces,100,guardian.306625,False,1630145281.674,1630145285.666
137,751,engces0123,Online-W,13,TGT,eng,ces,100,guardian.306625,False,1630145418.215,1630145423.104
140,755,engces0123,Online-W,16,TGT,eng,ces,100,guardian.306625,False,1630145454.449,1630145465.216
143,760,engces0123,Online-W,19,TGT,eng,ces,96,guardian.306625,False,1630145500.567,1630145509.576
145,762,engces0123,Online-W,21,TGT,eng,ces,95,guardian.306625,False,1630145517.752,1630145523.712
154,775,engces0123,CUNI-Marian-Baselines,2,TGT,eng,ces,98,guardian.306602,False,1630145660.976,1630145680.103
156,777,engces0113,Online-A,2,TGT,eng,ces,97,en.ndtv.com.75108,False,1630145691.494,1630145715.878
163,784,engces0123,CUNI-Marian-Baselines,7,TGT,eng,ces,97,guardian.306602,False,1630145875.758,1630145892.189
164,785,engces0123,CUNI-Marian-Baselines,8,TGT,eng,ces,100,guardian.306602,False,1630145892.196,1630145903.949
177,798,engces0113,Online-A,10,TGT,eng,ces,98,en.ndtv.com.75108,False,1630146135.298,1630146163.823
205,839,engces0113,eTranslation,9,TGT,eng,ces,97,en.ndtv.com.75108,False,1630146731.172,1630146758.945
208,843,engces0113,eTranslation,11,TGT,eng,ces,100,en.ndtv.com.75108,False,1630146779.913,1630146801.661
238,905,engces0123,CUNI-DocTransformer,6,TGT,eng,ces,96,guardian.306722,False,1630147621.881,1630147635.0
242,912,engces0123,CUNI-DocTransformer,10,TGT,eng,ces,100,guardian.306722,False,1630147696.128,1630147709.832
258,942,engces0123,CUNI-Marian-Baselines,0,TGT,eng,ces,98,abcnews.420122,False,1630148143.286,1630148160.383
261,948,engces0123,CUNI-Marian-Baselines,3,TGT,eng,ces,96,abcnews.420122,False,1630148234.549,1630148253.182
262,949,engces0123,CUNI-Marian-Baselines,4,TGT,eng,ces,95,abcnews.420122,False,1630148253.19,1630148269.381
263,951,engces0123,CUNI-Marian-Baselines,5,TGT,eng,ces,97,abcnews.420122,False,1630148269.389,1630148278.99
264,952,engces0123,CUNI-Marian-Baselines,6,TGT,eng,ces,95,abcnews.420122,False,1630148278.998,1630148286.286
266,955,engces0123,CUNI-Marian-Baselines,8,TGT,eng,ces,100,abcnews.420122,False,1630148300.571,1630148308.886
278,977,engces0123,CUNI-DocTransformer,10,TGT,eng,ces,96,guardian.306616,False,1630148615.444,1630148625.676
279,978,engces0123,CUNI-DocTransformer,11,TGT,eng,ces,100,guardian.306616,False,1630148625.684,1630148631.725
280,979,engces0123,CUNI-DocTransformer,12,TGT,eng,ces,100,guardian.306616,False,1630148631.736,1630148653.299
284,983,engces0123,CUNI-DocTransformer,16,TGT,eng,ces,96,guardian.306616,False,1630148733.757,1630148743.292
310,1023,engces0113,Online-W,11,TGT,eng,ces,95,seattle_times.253485,False,1630150693.257,1630150717.047
321,1048,engces0113,translator-B,0,TGT,eng,ces,99,brisbanetimes.com.au.275197,False,1630151680.878,1630151702.71
322,1049,engces0113,translator-B,1,TGT,eng,ces,99,brisbanetimes.com.au.275197,False,1630151702.719,1630151730.274
330,1057,engces0113,translator-B,9,TGT,eng,ces,99,brisbanetimes.com.au.275197,False,1630151899.82,1630151910.078
331,1058,engces0113,translator-B,10,TGT,eng,ces,96,brisbanetimes.com.au.275197,False,1630151910.085,1630151921.034
333,1060,engces0113,translator-B,12,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1630151954.992,1630152134.563
366,1418,engces0113,CUNI-Transformer2018,10,TGT,eng,ces,98,en.ndtv.com.75106,False,1630160776.014,1630160788.278
369,1424,engces0113,CUNI-Transformer2018,13,TGT,eng,ces,99,en.ndtv.com.75106,False,1630160894.769,1630160909.717
370,1426,engces0113,CUNI-Transformer2018,14,TGT,eng,ces,99,en.ndtv.com.75106,False,1630160909.724,1630160929.757
371,1437,engces0113,CUNI-Transformer2018,16,TGT,eng,ces,100,en.ndtv.com.75106,False,1630161030.849,1630161045.861
373,1440,engces0113,CUNI-Transformer2018,18,TGT,eng,ces,99,en.ndtv.com.75106,False,1630161064.269,1630161072.661
375,1444,engces0113,CUNI-Transformer2018,20,TGT,eng,ces,100,en.ndtv.com.75106,False,1630161092.259,1630161105.195
380,1525,engces0125,Facebook-AI,0,TGT,eng,ces,100,guardian.306602,False,1630162729.101,1630162744.036
381,1526,engces0113,Facebook-AI,4,TGT,eng,ces,99,cbsnews.377408,False,1630162758.736,1630162771.013
383,1529,engces0113,Facebook-AI,6,TGT,eng,ces,99,cbsnews.377408,False,1630162788.228,1630162816.064
